Afghanistan,Kabul,34.5289,69.1725,4011770,afghanistan.png,afghanistanOutline.png
Albania,Tiranë (Tirana),41.3275,19.8189,475577,albania.png,albaniaOutline.png
Algeria,El Djazaïr  (Algiers),36.7525,3.0420,2693542,algeria.png,no
American Samoa,Pago Pago,-14.2781,-170.7025,48526,american_samoa.png,americanSamoaOutline.png
Andorra,Andorra la Vella,42.5078,1.5211,22614,andorra.png,no
Angola,Luanda,-8.8368,13.2343,7774200,angola.png,no
Anguilla,The Valley,18.2170,-63.0578,1402,anguilla.png,anguillaOutline.png
Antigua and Barbuda,St. John's,17.1172,-61.8457,20764,antigua_barbuda.png,no
Argentina,Buenos Aires,-34.6051,-58.4004,14966530,argentina.png,argentinaOutline.png
Armenia,Yerevan,40.1820,44.5146,1080324,armenia.png,armeniaOutline.png
Aruba,Oranjestad,12.5240,-70.0270,29877,aruba.png,no
Australia,Canberra,-35.2835,149.1281,447692,australia.png,australiaOutline.png
Austria,Wien (Vienna),48.2064,16.3707,1900547,austria.png,austriaOutline.png
Azerbaijan,Baku,40.3777,49.8920,2285729,azerbaijan.png,no
Bahamas,Nassau,25.0582,-77.3431,279668,bahamas.png,bahamasOutline.png
Bahrain,Al-Manamah (Manama),26.2154,50.5832,564631,bahrain.png,bahrainOutlines.png
Bangladesh,Dhaka,23.7104,90.4074,19578421,bangladesh.png,no
Barbados,Bridgetown,13.1000,-59.6167,89201,barbados.png,no
Belarus,Minsk,53.9000,27.5667,2004672,belarus.png,belarusOutline.png
Belgium,Bruxelles-Brussel,50.8467,4.3499,2049510,belgium.png,belgiumOutline.png
Belize,Belmopan,17.2500,-88.7667,22964,belize.png,belizeOutline.png
Benin,Cotonou,6.3654,2.4183,685458,benin.png,beninOutline.png
Bermuda,Hamilton,32.2915,-64.7780,10073,bermuda.png,bermudaOutline.png
Bhutan,Thimphu,27.4661,89.6419,203297,bhutan.png,no
Bolivia (Plurinational State of),La Paz,-16.5000,-68.1500,1814087,bolivia.png,boliviaOutline.png
Bosnia and Herzegovina,Sarajevo,43.8486,18.3564,342577,bosnia_herzegovina.png,no
Botswana,Gaborone,-24.6545,25.9086,269338,botswana.png,botswanaOutline.png
Brazil,Brasília,-15.7797,-47.9297,4469585,brazil.png,brazilOutline.png
British Virgin Islands,Road Town,18.4167,-64.6167,15137,bvi.png,no
Brunei Darussalam,Bandar Seri Begawan,4.9403,114.9481,40781,brunei.png,no
Bulgaria,Sofia,42.6975,23.3242,1272418,bulgaria.png,bulgariaOutline.png
Burkina Faso,Ouagadougou,12.3642,-1.5383,2531381,burkina_faso.png,burkinaFasoOutline.png
Burundi,Bujumbura,-3.3822,29.3644,898968,burundi.png,burundiOutline.png
Cabo Verde,Praia,14.9215,-23.5087,167504,cabo_verde.png,no
Cambodia,Phnum Pénh (Phnom Penh),11.5625,104.9160,1952329,cambodia.png,no
Cameroon,Yaoundé,3.8667,11.5167,3655656,cameroon.png,no
Canada,Ottawa-Gatineau,45.4166,-75.6980,1363159,canada.png,canadaOutline.png
Caribbean Netherlands,Kralendijk,12.1500,-68.2667,11313,carribean_neth.png,no
Cayman Islands,George Town,19.2866,-81.3744,34875,cayman_islands.png,no
Central African Republic,Bangui,4.3612,18.5550,850946,car.png,no
Chad,N'Djaména,12.1067,15.0444,1322679,chad.png,chadOutline.png
Chile,Santiago,-33.4569,-70.6483,6680371,chile.png,chileOutline.png
China,Beijing,39.9075,116.3972,19617963,china.png,chinaOutline.png
"China, Hong Kong SAR",Hong Kong,22.2796,114.1887,7428887,hk.png,chinaHongKong.png
"China, Macao SAR",Macao,22.2006,113.5461,632418,macao.png,no
"China, Taiwan Province of China",Taibei,25.0470,121.5457,2705791,taiwan.jpg,chinaTaiwanOutline.png
Colombia,Bogotá,4.6097,-74.0818,10574409,colombia.png,colombiaOutline.png
Comoros,Moroni,-11.7022,43.2551,62351,comoros.png,no
Congo,Brazzaville,-4.2658,15.2832,2229693,congo.png,no
